"","countrycode","ranking","economy","us.dollars","Comments","iso3.countrycode"
"128","NAM","123","Namibia",13072,"","NAM"
"129","TCD","124","Chad",12887,"","TCD"
"130","ALB","125","Albania",12648,"","ALB"
"131","NIC","126","Nicaragua",10507,"","NIC"
"132","MUS","127","Mauritius",10486,"","MUS"
"133","BFA","128","Burkina Faso",10441,"","BFA"
"134","MLI","129","Mali",10308,"","MLI"
"135","MNG","130","Mongolia",10271,"","MNG"
"136","SSD","131","South Sudan",10220,"","SSD"
"137","MDG","132","Madagascar",9975,"","MDG"
"138","ARM","133","Armenia",9951,"","ARM"
"139","ZWE","134","Zimbabwe",9802,"","ZWE"
"140","MKD","135","Macedonia, FYR",9613,"","MKD"
"141","LAO","136","Lao PDR",9418,"","LAO"
"142","MLT","137","Malta",8722,"","MLT"
"143","BHS","138","Bahamas, The",8149,"","BHS"
"144","HTI","139","Haiti",7843,"","HTI"
"145","BEN","140","Benin",7557,"","BEN"
"146","MDA","141","Moldova",7253,"Excludes Transnistria","MDA"
"147","RWA","142","Rwanda",7103,"","RWA"
"148","TJK","143","Tajikistan",6972,"","TJK"
"149","NER","144","Niger",6773,"","NER"
"150","KGZ","145","Kyrgyz Republic",6475,"","KGZ"
"151","KSV","146","Kosovo",6445,"","KSV"
"152","MCO","147","Monaco",6075,"","MCO"
"153","GIN","148","Guinea",5632,"","GIN"
"154","BMU","149","Bermuda",5474,"","BMU"
"155","SUR","150","Suriname",5012,"","SUR"
"156","MNE","151","Montenegro",4373,"","MNE"
"157","MWI","152","Malawi",4264,"","MWI"
"158","BRB","153","Barbados",4225,"","BRB"
"159","MRT","154","Mauritania",4199,"","MRT"
"160","FJI","155","Fiji",3908,"","FJI"
"161","TGO","156","Togo",3814,"","TGO"
"162","SLE","157","Sierra Leone",3796,"","SLE"
"163","SWZ","158","Swaziland",3744,"","SWZ"
"164","ERI","159","Eritrea",3092,"","ERI"
"165","GUY","160","Guyana",2851,"","GUY"
"166","ABW","161","Aruba",2584,"","ABW"
"167","BDI","162","Burundi",2472,"","BDI"
"168","LSO","163","Lesotho",2448,"","LSO"
"169","MDV","164","Maldives",2222,"","MDV"
"170","CAF","165","Central African Republic",2184,"","CAF"
"171","CPV","166","Cape Verde",1827,"","CPV"
"172","BTN","167","Bhutan",1780,"","BTN"
"173","LBR","168","Liberia",1734,"","LBR"
"174","BLZ","169","Belize",1493,"","BLZ"
"175","TMP","170","Timor-Leste",1293,"","TLS"
"176","LCA","171","St. Lucia",1239,"","LCA"
"177","ATG","172","Antigua and Barbuda",1134,"","ATG"
"178","SYC","173","Seychelles",1129,"","SYC"
"179","SLB","174","Solomon Islands",1008,"","SLB"
"180","GMB","175","Gambia, The",917,"","GMB"
"181","GNB","176","Guinea-Bissau",822,"","GNB"
"182","VUT","177","Vanuatu",787,"","VUT"
"183","GRD","178","Grenada",767,"","GRD"
"184","KNA","178","St. Kitts and Nevis",767,"","KNA"
"185","VCT","180","St. Vincent and the Grenadines",713,"","VCT"
"186","WSM","181","Samoa",684,"","WSM"
"187","COM","182","Comoros",596,"","COM"
"188","DMA","183","Dominica",480,"","DMA"
"189","TON","184","Tonga",472,"","TON"
"190","FSM","185","Micronesia, Fed. Sts.",326,"","FSM"
"191","STP","186","São Tomé and Principe",263,"","STP"
"192","PLW","187","Palau",228,"","PLW"
"193","MHL","188","Marshall Islands",182,"","MHL"
"194","KIR","189","Kiribati",175,"","KIR"
"195","TUV","190","Tuvalu",40,"","TUV"
"197","ASM","","American Samoa",0,"","ASM"
"198","ADO","","Andorra",0,"","AND"
"199","CYM","","Cayman Islands",0,"","CYM"
"200","CHI","","Channel Islands",0,"","CHI"
"202","DJI","","Djibouti",0,"","DJI"
"203","FRO","","Faeroe Islands",0,"","FRO"
"204","PYF","","French Polynesia",0,"","PYF"
"205","GRL","","Greenland",0,"","GRL"
"206","GUM","","Guam",0,"","GUM"
"207","IMY","","Isle of Man",0,"","IMN"
"208","PRK","","Korea, Dem. Rep.",0,"","PRK"
"209","LBY","","Libya",0,"","LBY"
"210","LIE","","Liechtenstein",0,"","LIE"
"211","MMR","","Myanmar",0,"","MMR"
"212","NCL","","New Caledonia",0,"","NCL"
"213","MNP","","Northern Mariana Islands",0,"","MNP"
"214","SMR","","San Marino",0,"","SMR"
"215","SXM","","Sint Maarten (Dutch part)",0,"","SXM"
"216","SOM","","Somalia",0,"","SOM"
"217","MAF","","St. Martin (French part)",0,"","MAF"
"218","TCA","","Turks and Caicos Islands",0,"","TCA"
"219","VIR","","Virgin Islands (U.S.)",0,"","VIR"
"220","WBG","","West Bank and Gaza",0,"","PSE"
"234","SSA","","  Sub-Saharan Africa",1289813,"","ESH"
